id_text,provenience,height,width,thickness,features,scaled_features,cluster,distance,anomaly
236040,Isin (mod. Bahriyat) ?,35.0,30.0,14.0,"[35.0,30.0,14.0]","[-0.858870879105149,-1.0669803936148288,-1.2182990565992875]",0,0.7863339998241226,0
236041,Isin (mod. Bahriyat) ?,35.0,32.0,15.0,"[35.0,32.0,15.0]","[-0.858870879105149,-0.8903580731164088,-1.057781184489562]",0,0.5685880099971268,0
236042,Isin (mod. Bahriyat) ?,51.0,38.0,19.0,"[51.0,38.0,19.0]","[-0.18906966059342295,-0.36049111162114894,-0.41570969605066]",0,0.5687343747878615,0
236043,Isin (mod. Bahriyat) ?,38.0,34.0,18.0,"[38.0,34.0,18.0]","[-0.7332831506342005,-0.7137357526179888,-0.5762275681603855]",0,0.11010654463815676,0
236044,Isin (mod. Bahriyat) ?,45.0,33.0,17.0,"[45.0,33.0,17.0]","[-0.44024511753532025,-0.8020469128671988,-0.736745440270111]",0,0.30345027495830307,0
236045,Isin (mod. Bahriyat) ?,31.0,30.0,14.0,"[31.0,30.0,14.0]","[-1.0263211837330806,-1.0669803936148288,-1.2182990565992875]",0,0.8459813355395488,0
236046,Isin (mod. Bahriyat) ?,43.0,35.0,17.0,"[43.0,35.0,17.0]","[-0.523970269849286,-0.6254245923687788,-0.736745440270111]",0,0.19484209175990802,0
236047,Isin (mod. Bahriyat) ?,98.0,56.0,24.0,"[98.0,56.0,24.0]","[1.7784714187847726,1.2291097728646305,0.38687966449796757]",2,1.611107827911331,1
236048,Isin (mod. Bahriyat) ?,42.0,35.0,15.0,"[42.0,35.0,15.0]","[-0.5658328460062689,-0.6254245923687788,-1.057781184489562]",0,0.4753037054927757,0
236049,Isin (mod. Bahriyat) ?,37.0,32.0,16.0,"[37.0,32.0,16.0]","[-0.7751457267911833,-0.8903580731164088,-0.8972633123798365]",0,0.414030454658241,0
236050,Isin (mod. Bahriyat) ?,45.0,37.0,16.0,"[45.0,37.0,16.0]","[-0.44024511753532025,-0.44880227187035887,-0.8972633123798365]",0,0.4192582384507151,0
236051,Isin (mod. Bahriyat) ?,37.0,32.0,18.0,"[37.0,32.0,18.0]","[-0.7751457267911833,-0.8903580731164088,-0.5762275681603855]",0,0.27852967445183263,0
236052,Isin (mod. Bahriyat) ?,46.0,39.0,19.0,"[46.0,39.0,19.0]","[-0.39838254137833734,-0.27217995137193896,-0.41570969605066]",0,0.48049273895703243,0
236053,Isin (mod. Bahriyat) ?,37.0,30.0,17.0,"[37.0,30.0,17.0]","[-0.7751457267911833,-1.0669803936148288,-0.736745440270111]",0,0.46691721976957445,0
236054,Isin (mod. Bahriyat) ?,33.0,31.0,16.0,"[33.0,31.0,16.0]","[-0.9425960314191149,-0.9786692333656187,-0.8972633123798365]",0,0.5409111314256158,0
236055,Isin (mod. Bahriyat) ?,41.0,39.0,16.0,"[41.0,39.0,16.0]","[-0.6076954221632518,-0.27217995137193896,-0.8972633123798365]",0,0.4816981819374622,0
236056,Isin (mod. Bahriyat) ?,35.0,35.0,17.0,"[35.0,35.0,17.0]","[-0.858870879105149,-0.6254245923687788,-0.736745440270111]",0,0.2538746446678066,0
236057,Isin (mod. Bahriyat) ?,36.0,31.0,18.0,"[36.0,31.0,18.0]","[-0.8170083029481662,-0.9786692333656187,-0.5762275681603855]",0,0.37615455095872485,0
236058,Isin (mod. Bahriyat) ?,45.0,37.0,17.0,"[45.0,37.0,17.0]","[-0.44024511753532025,-0.44880227187035887,-0.736745440270111]",0,0.3210767265390463,0
236059,Isin (mod. Bahriyat) ?,38.0,34.0,18.0,"[38.0,34.0,18.0]","[-0.7332831506342005,-0.7137357526179888,-0.5762275681603855]",0,0.11010654463815676,0
236060,Isin (mod. Bahriyat) ?,53.0,39.0,18.0,"[53.0,39.0,18.0]","[-0.10534450827945717,-0.27217995137193896,-0.5762275681603855]",0,0.6594942101047532,0
236061,Isin (mod. Bahriyat) ?,41.0,36.0,18.0,"[41.0,36.0,18.0]","[-0.6076954221632518,-0.5371134321195689,-0.5762275681603855]",0,0.11380526817593326,0
236062,Isin (mod. Bahriyat) ?,36.0,34.0,17.0,"[36.0,34.0,17.0]","[-0.8170083029481662,-0.7137357526179888,-0.736745440270111]",0,0.23220833039235236,0
236063,Isin (mod. Bahriyat) ?,29.0,26.0,16.0,"[29.0,26.0,16.0]","[-1.1100463360470463,-1.4202250346116685,-0.8972633123798365]",0,0.9545435769662689,0
236064,Isin (mod. Bahriyat) ?,31.0,27.0,16.0,"[31.0,27.0,16.0]","[-1.0263211837330806,-1.3319138743624586,-0.8972633123798365]",0,0.8435718806700905,0
236065,Isin (mod. Bahriyat) ?,40.0,37.0,19.0,"[40.0,37.0,19.0]","[-0.6495579983202346,-0.44880227187035887,-0.41570969605066]",0,0.25986669606208024,0
236066,Isin (mod. Bahriyat) ?,38.0,32.0,17.0,"[38.0,32.0,17.0]","[-0.7332831506342005,-0.8903580731164088,-0.736745440270111]",0,0.30027566258817323,0
236067,Isin (mod. Bahriyat) ?,40.0,35.0,17.0,"[40.0,35.0,17.0]","[-0.6495579983202346,-0.6254245923687788,-0.736745440270111]",0,0.1470022003757913,0
236068,Isin (mod. Bahriyat) ?,37.0,33.0,19.0,"[37.0,33.0,19.0]","[-0.7751457267911833,-0.8020469128671988,-0.41570969605066]",0,0.2677933271170049,0
236069,Isin (mod. Bahriyat) ?,36.0,32.0,17.0,"[36.0,32.0,17.0]","[-0.8170083029481662,-0.8903580731164088,-0.736745440270111]",0,0.332877604268772,0
236070,Isin (mod. Bahriyat) ?,34.0,32.0,17.0,"[34.0,32.0,17.0]","[-0.900733455262132,-0.8903580731164088,-0.736745440270111]",0,0.3814044147157469,0
236071,Isin (mod. Bahriyat) ?,45.0,37.0,19.0,"[45.0,37.0,19.0]","[-0.44024511753532025,-0.44880227187035887,-0.41570969605066]",0,0.335129490730524,0
236072,Isin (mod. Bahriyat) ?,37.0,31.0,15.0,"[37.0,31.0,15.0]","[-0.7751457267911833,-0.9786692333656187,-1.057781184489562]",0,0.5894746614870624,0
236073,Isin (mod. Bahriyat) ?,49.0,37.0,20.0,"[49.0,37.0,20.0]","[-0.2727948129073887,-0.44880227187035887,-0.2551918239409345]",0,0.5414189355862725,0
236074,Isin (mod. Bahriyat) ?,37.0,32.0,18.0,"[37.0,32.0,18.0]","[-0.7751457267911833,-0.8903580731164088,-0.5762275681603855]",0,0.27852967445183263,0
236075,Isin (mod. Bahriyat) ?,40.0,37.0,17.0,"[40.0,37.0,17.0]","[-0.6495579983202346,-0.44880227187035887,-0.736745440270111]",0,0.24147295602189234,0
236076,Isin (mod. Bahriyat) ?,34.0,30.0,15.0,"[34.0,30.0,15.0]","[-0.900733455262132,-1.0669803936148288,-1.057781184489562]",0,0.6794508027679933,0
236077,Isin (mod. Bahriyat) ?,32.0,29.0,17.0,"[32.0,29.0,17.0]","[-0.9844586075760977,-1.1552915538640387,-0.736745440270111]",0,0.6296539203516435,0
236078,Isin (mod. Bahriyat) ?,32.0,29.0,16.0,"[32.0,29.0,16.0]","[-0.9844586075760977,-1.1552915538640387,-0.8972633123798365]",0,0.6849461771540599,0
236079,Isin (mod. Bahriyat) ?,32.0,30.0,18.0,"[32.0,30.0,18.0]","[-0.9844586075760977,-1.0669803936148288,-0.5762275681603855]",0,0.5406231637949921,0
236080,Isin (mod. Bahriyat) ?,33.0,32.0,16.0,"[33.0,32.0,16.0]","[-0.9425960314191149,-0.8903580731164088,-0.8972633123798365]",0,0.49065759309970763,0
236081,Isin (mod. Bahriyat) ?,34.0,30.0,17.0,"[34.0,30.0,17.0]","[-0.900733455262132,-1.0669803936148288,-0.736745440270111]",0,0.5145357193444086,0
236082,Isin (mod. Bahriyat) ?,39.0,36.0,17.0,"[39.0,36.0,17.0]","[-0.6914205744772175,-0.5371134321195689,-0.736745440270111]",0,0.1836278660935079,0
